time,open,high,low,close,Equity,Exposure
2020-05-23T23:00:00+08:00,9198.55,9212.62,9136,9180.05,8878.114266,1.2
2020-05-24T02:00:00+08:00,9179.72,9247.63,9125,9229.58,8935.986109,1.2
2020-05-24T05:00:00+08:00,9229.58,9247.56,9152.44,9179.15,8877.062688,1.2
2020-05-24T08:00:00+08:00,9179.01,9231,9120.77,9198.96,8900.209089,1.2
2020-05-24T11:00:00+08:00,9198.96,9221.72,9180,9205,8907.266345,1.2
2020-05-24T14:00:00+08:00,9204.99,9297,9204.99,9258.54,8969.823552,1.2
2020-05-24T17:00:00+08:00,9258.88,9298,9100,9119,8806.782225,1.2
2020-05-24T20:00:00+08:00,9119,9179.31,9000,9070.05,8749.588066,1.2
2020-05-24T23:00:00+08:00,9071.37,9092,8853.21,8947.84,8606.795458,1.2
2020-05-25T02:00:00+08:00,8947.84,9040,8890.41,9000.31,8668.102455,1.2
2020-05-25T05:00:00+08:00,9000.93,9080.99,8700,8720.34,8340.979908,1.2
2020-05-25T08:00:00+08:00,8718.14,8822.9,8642.72,8790.96,8423.493729,1.2
2020-05-25T11:00:00+08:00,8790.67,8820,8741.53,8782.93,8414.111316,1.2
2020-05-25T14:00:00+08:00,8782.93,8881.24,8762.23,8820.54,8458.055592,1.2
2020-05-25T17:00:00+08:00,8820.43,8875.18,8668.29,8752.41,8378.451137,1.2
2020-05-25T20:00:00+08:00,8753.2,8857,8728.41,8755.95,8382.587344,1.2
2020-05-25T23:00:00+08:00,8756,8918,8742.53,8893.5,8543.303515,1.2
2020-05-26T02:00:00+08:00,8893.56,8979.66,8860,8913.54,8566.718652,1.2
2020-05-26T05:00:00+08:00,8913.53,8940,8860.98,8900.35,8551.307192,1.2
2020-05-26T08:00:00+08:00,8900.35,8925,8822.74,8882.4,8530.334053,1.2
2020-05-26T11:00:00+08:00,8881.96,8940,8871.58,8937.43,8594.632206,1.2
2020-05-26T14:00:00+08:00,8937.42,9017.67,8860.05,8960.01,8621.015129,1.2
2020-05-26T17:00:00+08:00,8960.01,8993,8832.38,8869.15,8514.852488,1.2
2020-05-26T20:00:00+08:00,8869.32,8914.56,8785.03,8817.17,8454.118017,1.2
2020-05-26T23:00:00+08:00,8817.5,8837.26,8700,8811.03,8446.943918,1.2
2020-05-27T02:00:00+08:00,8810.67,8880,8760.2,8856.2,8499.721449,1.2
2020-05-27T05:00:00+08:00,8855.93,8880,8801.12,8841.18,8482.171781,1.2
2020-05-27T08:00:00+08:00,8841,8897.8,8811.73,8822.59,8460.450853,1.2
2020-05-27T11:00:00+08:00,8821.76,8881.69,8820.43,8878,8525.193005,1.2
2020-05-27T14:00:00+08:00,8878,8955,8829.4,8930,8585.950845,1.2
2020-05-27T17:00:00+08:00,8930,9170,8902.91,9150.74,8843.867876,1.2
2020-05-27T20:00:00+08:00,9148.87,9190,9120,9153.02,8846.531874,1.2
2020-05-27T23:00:00+08:00,9153.06,9225,9125.1,9189.65,8889.331098,1.2
2020-05-28T02:00:00+08:00,9189.65,9199.12,9137.71,9165.21,8860.774914,1.2
2020-05-28T05:00:00+08:00,9167.25,9205.42,9052.32,9204.07,8906.179715,1.2
2020-05-28T08:00:00+08:00,9204.07,9280.78,9158.47,9204.37,8906.530241,1.2
2020-05-28T11:00:00+08:00,9204.37,9205.74,9120.01,9167.75,8863.7427,1.2
2020-05-28T14:00:00+08:00,9167.75,9191.9,9110,9190.33,8890.125624,1.2
2020-05-28T17:00:00+08:00,9191.15,9280,9156.16,9266.89,8979.579859,1.2
2020-05-28T20:00:00+08:00,9267.22,9498.21,9251.65,9466.65,9212.983438,1.2
2020-05-28T23:00:00+08:00,9466.85,9537.8,9434,9466.11,9212.352491,1.2
2020-05-29T02:00:00+08:00,9466.11,9480,9391.38,9450.18,9193.739561,1.2
2020-05-29T05:00:00+08:00,9451.49,9625.47,9410.01,9575.89,9340.621639,1.2
2020-05-29T08:00:00+08:00,9575.87,9605.26,9461.07,9504.45,9257.149714,1.2
2020-05-29T11:00:00+08:00,9504.44,9545,9471.99,9520,9275.318645,1.2
2020-05-29T14:00:00+08:00,9520,9593.69,9420.38,9450.8,9194.463981,1.2
2020-05-29T17:00:00+08:00,9450.8,9479,9335,9403.87,9139.630031,1.2
2020-05-29T20:00:00+08:00,9403.98,9478,9372.18,9445.07,9187.768935,1.2
2020-05-29T23:00:00+08:00,9445.88,9457.69,9330,9427.05,9166.714006,1.2
2020-05-30T02:00:00+08:00,9427.15,9443,9389.99,9420.93,9159.563276,1.2
2020-05-30T05:00:00+08:00,9420.98,9452.36,9372,9427.07,9166.737375,1.2
2020-05-30T08:00:00+08:00,9426.6,9433.48,9346.16,9384.41,9116.892577,1.2
2020-05-30T11:00:00+08:00,9383.71,9566.66,9331.23,9558.9,9320.770183,1.2
2020-05-30T14:00:00+08:00,9558.9,9600,9522,9533.36,9290.928736,1.2
2020-05-30T17:00:00+08:00,9532.75,9583,9459.93,9554.17,9315.243557,1.2
2020-05-30T20:00:00+08:00,9554.51,9570,9509.3,9546.77,9306.597249,1.2
2020-05-30T23:00:00+08:00,9546.58,9554.98,9495,9523.82,9279.78201,1.2
2020-05-31T02:00:00+08:00,9523.11,9545.96,9400,9440.61,9182.557781,1.2
2020-05-31T05:00:00+08:00,9440.46,9740,9432.07,9697.72,9482.970248,1.2
2020-05-31T08:00:00+08:00,9697.72,9700,9612,9640.76,9416.417044,1.2
2020-05-31T11:00:00+08:00,9641.64,9656,9516.38,9570.94,9334.83796,1.2
2020-05-31T14:00:00+08:00,9570.94,9589.31,9520.7,9539.17,9297.717257,1.2
2020-05-31T17:00:00+08:00,9539.18,9605.69,9500,9588.96,9355.892888,1.2
2020-05-31T20:00:00+08:00,9588.95,9638,9457,9471.11,9218.194591,1.2
2020-05-31T23:00:00+08:00,9471.12,9536.09,9436.96,9503.97,9256.588873,1.2
2020-06-01T02:00:00+08:00,9503.94,9536.69,9465.24,9506.6,9259.661817,1.2
2020-06-01T05:00:00+08:00,9506.52,9524,9381.41,9448.27,9191.507879,1.2
2020-06-01T08:00:00+08:00,9448.27,9570,9421.67,9530.67,9287.785687,1.2
2020-06-01T11:00:00+08:00,9531.7,9619,9514.65,9536.88,9295.041575,1.2
2020-06-01T14:00:00+08:00,9536.33,9584.37,9529.24,9540.3,9299.037571,1.2
2020-06-01T17:00:00+08:00,9540.54,9561.69,9511,9513.22,9267.396758,1.2
2020-06-01T20:00:00+08:00,9512.8,9590.26,9491.45,9563.03,9325.595758,1.2
2020-06-01T23:00:00+08:00,9563.13,9610,9500,9575.29,9339.920587,1.2
2020-06-02T02:00:00+08:00,9575.29,9688,9555.24,9668.71,9449.074384,1.2
2020-06-02T05:00:00+08:00,9670,10380,9626.93,10200.77,10070.74393,1.2
2020-06-02T08:00:00+08:00,10202.71,10228.99,10051,10090.76,9942.206044,1.2
2020-06-02T11:00:00+08:00,10090.34,10123.11,10041.59,10085.55,9936.118576,1.2
2020-06-02T14:00:00+08:00,10086.43,10156.78,10080,10107.48,9961.742027,1.2
2020-06-02T17:00:00+08:00,10107.25,10147.53,10090,10115.56,9971.18286,1.2
2020-06-02T20:00:00+08:00,10116.68,10190,9400,9581.47,9347.141423,1.2
2020-06-02T23:00:00+08:00,9582.17,9600,9266,9530.71,9287.832423,1.2
2020-06-03T02:00:00+08:00,9530.55,9540,9451,9521,9276.487065,1.2
2020-06-03T05:00:00+08:00,9521,9552.91,9400,9518.04,9273.028542,1.2
2020-06-03T08:00:00+08:00,9518.02,9540,9469.63,9489.63,9239.83373,1.2
2020-06-03T11:00:00+08:00,9489.62,9528.42,9365.21,9515,9269.476545,1.2
2020-06-03T14:00:00+08:00,9514.99,9539,9485.98,9507,9260.129185,1.2
2020-06-03T17:00:00+08:00,9506.84,9622.01,9500.79,9618.57,9390.489805,1.2
2020-06-03T20:00:00+08:00,9617.92,9646.43,9486.05,9580.71,9346.253423,1.2
2020-06-03T23:00:00+08:00,9580.71,9593.49,9520.03,9560.01,9322.067129,1.2
2020-06-04T02:00:00+08:00,9560.02,9622.44,9529,9581.53,9347.211528,1.2
2020-06-04T05:00:00+08:00,9581.36,9690,9559.05,9666.24,9446.188386,1.2
2020-06-04T08:00:00+08:00,9666.32,9685.71,9600.01,9670,9450.581645,1.2
2020-06-04T11:00:00+08:00,9670,9687.93,9622.58,9642.56,9418.5202,1.2
2020-06-04T14:00:00+08:00,9642.55,9669.49,9614.23,9642.22,9418.122938,1.2
2020-06-04T17:00:00+08:00,9642.22,9653.27,9450,9622.08,9394.590959,1.2
2020-06-04T20:00:00+08:00,9622.18,9793.36,9605,9746.63,9540.11767,1.2
2020-06-04T23:00:00+08:00,9746.46,9856.56,9720.47,9818.95,9624.617804,1.2
2020-06-05T02:00:00+08:00,9818.95,9881.63,9725,9781.27,9580.591739,1.2
2020-06-05T05:00:00+08:00,9781.27,9860,9728.1,9789.06,9589.69373,1.2
2020-06-05T08:00:00+08:00,9788.14,9846.16,9755.82,9798.49,9600.711931,1.2
2020-06-05T11:00:00+08:00,9798.05,9833.35,9750,9790.41,9591.271097,1.2
2020-06-05T14:00:00+08:00,9790,9854.75,9631.77,9833.43,9641.536526,1.2
2020-06-05T17:00:00+08:00,9833.44,9840.62,9581,9696.6,9481.661617,1.2
2020-06-05T20:00:00+08:00,9697.79,9727.97,9624.24,9689.07,9472.863415,1.2
2020-06-05T23:00:00+08:00,9689.21,9755.82,9652.01,9724.58,9514.354009,1.2
2020-06-06T02:00:00+08:00,9724.57,9753.12,9681.62,9714.22,9502.249178,1.2
2020-06-06T05:00:00+08:00,9714.22,9715.54,9619.47,9621.16,9393.516012,1.2
2020-06-06T08:00:00+08:00,9621.17,9621.94,9531.05,9600.86,9369.797086,1.2
2020-06-06T11:00:00+08:00,9600.17,9644.34,9571.63,9619.02,9391.015594,1.2
2020-06-06T14:00:00+08:00,9619.43,9640,9580,9605.1,9374.751187,1.2
2020-06-06T17:00:00+08:00,9604.59,9699,9604.59,9693.85,9478.448462,1.2
2020-06-06T20:00:00+08:00,9693.85,9735,9633,9650.19,9427.435245,1.2
