time,open,high,low,close,1 Long Short,1 Long Short Exposure,1.2 Long Short,1.2 Long Short Exposure,1 Old long,1 Old long Exposure,1.2 Old long,1.2 Old long Exposure,1 New long,1 New long Exposure,1.2 New long,1.2 New long Exposure
2020-05-12T23:00:00+08:00,8887.21,8978.26,8792.74,8879,8738.420885,-1,8738.420885,-1,9493.174246,0.1,9493.174246,0.1,9349.205398,0.01,9349.205398,0.01
2020-05-13T02:00:00+08:00,8879,8925.98,8765,8815.27,8805.061434,-1,8805.061434,-1,9486.17733,0.1,9486.17733,0.1,9348.513927,0.01,9348.513927,0.01
2020-05-13T05:00:00+08:00,8815.02,8851.92,8730.06,8810.79,8809.746036,-1,8809.746036,-1,9485.68547,0.1,9485.68547,0.1,9348.465319,0.01,9348.465319,0.01
2020-05-13T08:00:00+08:00,8810.99,8972.46,8792.99,8936.5,8678.29486,-1,8678.29486,-1,9499.487171,0.1,9499.487171,0.1,9349.829273,0.01,9349.829273,0.01
2020-05-13T11:00:00+08:00,8936.5,8946.52,8867.63,8883.29,8733.934961,-1,8733.934961,-1,9493.645245,0.1,9493.645245,0.1,9349.251944,0.01,9349.251944,0.01
2020-05-13T14:00:00+08:00,8883.29,8920,8826.72,8908.18,8707.908234,-1,8707.908234,-1,9496.377919,0.1,9496.377919,0.1,9349.522001,0.01,9349.522001,0.01
2020-05-13T17:00:00+08:00,8908.86,9048.62,8891.27,9035.98,8574.271608,-1,8574.271608,-1,9510.409081,0.1,9510.409081,0.1,9350.908631,0.01,9350.908631,0.01
2020-05-13T20:00:00+08:00,9036.38,9135,8982.75,9082.26,8525.878001,-1,8525.878001,-1,9515.490162,0.1,9515.490162,0.1,9351.410769,0.01,9351.410769,0.01
2020-05-13T23:00:00+08:00,9082.25,9188,9036.2,9085.27,8518.744751,-1,8518.744751,-1,9515.82063,0.1,9515.82063,0.1,9351.443427,0.01,9351.443427,0.01
2020-05-14T02:00:00+08:00,9085.28,9330,9069.29,9285.92,8518.744751,-1,8518.744751,-1,9537.849993,0.1,9537.849993,0.1,9353.62048,0.01,9353.62048,0.01
2020-05-14T05:00:00+08:00,9285,9398,9252,9309.37,8518.744751,-1,8518.744751,-1,9540.424569,0.1,9540.424569,0.1,9353.874912,0.01,9353.874912,0.01
2020-05-14T08:00:00+08:00,9309.35,9386.62,9256.76,9334.01,8518.744751,-1,8518.744751,-1,9543.129794,0.1,9543.129794,0.1,9354.142256,0.01,9354.142256,0.01
2020-05-14T11:00:00+08:00,9335.24,9447,9267,9437.77,8518.744751,1,8518.744751,1,9554.521605,0.9,9554.521605,0.9,9355.268052,1,9355.268052,1
2020-05-14T14:00:00+08:00,9438.76,9648.29,9403.35,9610,8518.744751,1,8518.744751,1,9573.430736,0.9,9573.430736,0.9,9357.136748,1,9357.136748,1
2020-05-14T17:00:00+08:00,9610.01,9939,9516,9686.71,8580.327934,1,8580.327934,1,9642.198753,0.9,9642.198753,0.9,9431.818112,1,9431.818112,1
2020-05-14T20:00:00+08:00,9686.71,9759.99,9541.01,9704,8595.654482,1,8595.654482,1,9657.700448,0.9,9657.700448,0.9,9448.653039,1,9448.653039,1
2020-05-14T23:00:00+08:00,9704,9783.01,9569.47,9621.81,8522.797978,1,8522.797978,1,9584.01136,0.9,9584.01136,0.9,9368.62628,1,9368.62628,1
2020-05-15T02:00:00+08:00,9621.93,9874.3,9586,9655.88,8552.998989,1,8552.998989,1,9614.5575,0.9,9614.5575,0.9,9401.799558,1,9401.799558,1
2020-05-15T05:00:00+08:00,9656.34,9850.32,9612.2,9791.98,8673.643473,1.2,8673.643473,1.2,9736.580677,1,9736.580677,1.2,9534.317406,1,9534.317406,1.2
2020-05-15T08:00:00+08:00,9791.97,9845.62,9256.12,9490.21,8406.142474,1.2,8406.142474,1.2,9466.022748,1,9466.022748,1.2,9240.489992,1,9240.489992,1.2
2020-05-15T11:00:00+08:00,9490.1,9563.02,9370.38,9505.34,8419.554311,1.2,8420.984225,1.2,9481.125264,1,9484.165491,1.2,9255.22177,1,9258.189608,1.2
2020-05-15T14:00:00+08:00,9505.34,9729.81,9496.93,9616,8517.647762,1.2,8538.606952,1.2,9591.50308,1,9616.618871,1.2,9362.969199,1,9387.486965,1.2
2020-05-15T17:00:00+08:00,9616,9656.25,9480,9592.38,8496.710049,1.2,8513.500782,1.2,9567.943312,1,9588.347149,1.2,9339.970878,1,9359.888885,1.2
2020-05-15T20:00:00+08:00,9593.53,9616.65,9490,9568.02,8475.116371,1.2,8487.60805,1.2,9543.64543,1,9559.18969,1.2,9316.252033,1,9331.426174,1.2
2020-05-15T23:00:00+08:00,9568.17,9570.81,9413.93,9478.08,8395.389957,1.2,8392.009026,1.2,9453.934776,1,9451.536907,1.2,9228.679254,1,9226.338479,1.2
2020-05-16T02:00:00+08:00,9478.01,9534.78,9150,9250.25,8193.432332,1.2,8149.843962,1.2,9226.685743,1,9178.838066,1.2,9006.845739,1,8960.13735,1.2
2020-05-16T05:00:00+08:00,9250.29,9487.58,9211.1,9316.42,8252.088067,1.2,8220.177378,1.2,9292.68701,1,9258.039586,1.2,9071.274145,1,9037.451702,1.2
2020-05-16T08:00:00+08:00,9315.96,9458.16,9220,9432.29,8354.799869,1.2,8343.337919,1.2,9408.261541,1,9396.729024,1.2,9184.094447,1,9172.836527,1.2
2020-05-16T11:00:00+08:00,9432.3,9588,9390.3,9459.32,8378.760343,1.2,8372.068646,1.2,9435.222614,1,9429.082312,1.2,9210.413017,1,9204.41892,1.2
2020-05-16T14:00:00+08:00,9459.32,9510,9351.25,9423.39,8346.910553,1.2,8333.877931,1.2,9399.384236,1,9386.076258,1.2,9175.428694,1,9162.437589,1.2
2020-05-16T17:00:00+08:00,9423.3,9458,9315,9414.53,8339.056695,1.2,8324.46046,1.2,9390.546829,1,9375.47137,1.2,9166.80189,1,9152.085388,1.2
2020-05-16T20:00:00+08:00,9414.54,9534.85,9400,9432.31,8354.817598,1.2,8343.359177,1.2,9408.28149,1,9396.752963,1.2,9184.11392,1,9172.859895,1.2
2020-05-16T23:00:00+08:00,9432.31,9440,9291,9322.26,8257.264876,1.2,8226.384831,1.2,9298.512117,1,9265.029716,1.2,9076.960436,1,9044.275274,1.2
2020-05-17T02:00:00+08:00,9321.8,9392.78,9262,9383,8311.107242,1.2,8290.946592,1.2,9359.097231,1,9337.731851,1.2,9136.101759,1,9115.245105,1.2
2020-05-17T05:00:00+08:00,9382.72,9442.98,9354,9381.27,8309.573701,1.2,8289.10774,1.2,9357.371642,1,9335.661145,1.2,9134.417293,1,9113.223739,1.2
2020-05-17T08:00:00+08:00,9380.81,9555.1,9322.1,9512.99,8426.335577,1.2,8429.115563,1.2,9488.755756,1,9493.322082,1.2,9262.670423,1,9267.128021,1.2
2020-05-17T11:00:00+08:00,9512.53,9579.16,9475,9495,8410.388522,1.2,8409.993632,1.2,9470.81163,1,9471.789131,1.2,9245.153919,1,9246.108145,1.2
2020-05-17T14:00:00+08:00,9495,9567.85,9480.04,9491,8406.842762,1.2,8405.741952,1.2,9466.821831,1,9467.001371,1.2,9241.259199,1,9241.434465,1.2
2020-05-17T17:00:00+08:00,9491.01,9538.36,9436,9522.08,8434.393317,1.2,8438.777506,1.2,9497.822576,1,9504.202267,1.2,9271.521174,1,9277.748959,1.2
2020-05-17T20:00:00+08:00,9522.5,9822,9521.45,9809.91,8689.537342,1.2,8744.717769,1.2,9784.91861,1,9848.717507,1.2,9551.775488,1,9614.055287,1.2
2020-05-17T23:00:00+08:00,9811.18,9888,9685,9759.99,8645.286257,1.2,8691.656803,1.2,9735.125906,1,9788.966262,1.2,9503.169382,1,9555.727761,1.2
2020-05-18T02:00:00+08:00,9760,9791.95,9705,9740.14,8627.690423,1.2,8670.557841,1.2,9715.326523,1,9765.207003,1.2,9483.841835,1,9532.534624,1.2
2020-05-18T05:00:00+08:00,9741.62,9798.49,9595.2,9680.04,8574.415379,1.2,8606.676349,1.2,9655.379779,1,9693.270909,1.2,9425.323667,1,9462.312582,1.2
2020-05-18T08:00:00+08:00,9681.11,9950,9680.13,9870.05,8742.847844,1.2,8808.641778,1.2,9844.905253,1,9920.701479,1.2,9610.332603,1,9684.324066,1.2
2020-05-18T11:00:00+08:00,9870.05,9910,9816.27,9861.07,8734.887613,1.2,8799.096756,1.2,9835.948152,1,9909.952957,1.2,9601.588957,1,9673.831655,1.2
2020-05-18T14:00:00+08:00,9861.32,9884.54,9464.23,9591.54,8495.965439,1.2,8512.607929,1.2,9567.105454,1,9587.341719,1.2,9339.152987,1,9358.907412,1.2
2020-05-18T17:00:00+08:00,9591.57,9714.95,9541.34,9634.89,8534.392613,1.2,8558.685511,1.2,9610.344911,1,9639.229068,1.2,9381.362014,1,9409.558419,1.2
2020-05-18T20:00:00+08:00,9634.89,9735,9565.1,9708.56,8599.696648,1.2,8636.990827,1.2,9683.827052,1,9727.407638,1.2,9453.09302,1,9495.63592,1.2
2020-05-18T23:00:00+08:00,9708.5,9723,9550.01,9625.07,8525.687773,1.2,8548.247636,1.2,9600.549952,1,9627.475117,1.2,9371.800477,1,9398.084535,1.2
2020-05-19T02:00:00+08:00,9625.07,9720,9613,9685.78,8579.503545,1.2,8612.77751,1.2,9661.105142,1,9700.141345,1.2,9430.91259,1,9469.019313,1.2
2020-05-19T05:00:00+08:00,9685.79,9755,9666.67,9733.93,8622.185631,1.2,8663.957108,1.2,9709.132359,1,9757.774006,1.2,9477.795282,1,9525.278736,1.2
2020-05-19T08:00:00+08:00,9733.93,9742.95,9535,9612.43,8514.483171,1.2,8534.812328,1.2,9587.942184,1,9612.345796,1.2,9359.493162,1,9383.315706,1.2
2020-05-19T11:00:00+08:00,9612.43,9634,9474,9603.09,8506.203821,1.2,8524.884655,1.2,9578.626001,1,9601.166376,1.2,9350.398991,1,9372.402663,1.2
2020-05-19T14:00:00+08:00,9603.09,9829,9550,9803.94,8684.245295,1.2,8738.372137,1.2,9778.963834,1,9841.571775,1.2,9545.962619,1,9607.07982,1.2
2020-05-19T17:00:00+08:00,9804.07,9897.21,9696,9751.98,8638.185873,1.2,8683.142814,1.2,9727.136331,1,9779.378773,1.2,9495.370206,1,9546.368717,1.2
2020-05-19T20:00:00+08:00,9752.24,9762,9561,9696.78,8589.254385,1.2,8624.46963,1.2,9672.077092,1,9713.307685,1.2,9441.62307,1,9481.871933,1.2
2020-05-19T23:00:00+08:00,9696.88,9736.83,9622.33,9658.97,8555.738089,1.2,8584.280624,1.2,9634.363507,1,9668.051383,1.2,9404.808229,1,9437.693973,1.2
2020-05-20T02:00:00+08:00,9659.5,9718.43,9620.49,9692.04,8585.052659,1.2,8619.431389,1.2,9667.349179,1,9707.634189,1.2,9437.007827,1,9476.333622,1.2
